area,area_code,area_name,year,sort,category,MYE
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2004/2005,16,Total Net,2159
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2004/2005,17,Other changes,-381
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2004/2005,18,Migration and other changes,1778
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2004/2005,19,End population,183933
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,1,Starting population,326268
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,2,Births,4019
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,3,Deaths,3274
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,4,Natural Change,745
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,5,Internal Inflows,10550
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,6,Internal Outflows,13293
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,7,Internal Net,-2743
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,8,United Kingdom Inflows,2657
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,9,United Kingdom Outflows,2278
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,10,United Kingdom Net,379
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,11,Rest of world Inflows,2982
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,12,Rest of world Outflows,3109
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,13,Rest of world Net,-127
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,14,Total Inflows,16189
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,15,Total Outflows,18680
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,16,Total Net,-2491
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,17,Other changes,961
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,18,Migration and other changes,-1530
2. Local Government Districts (LGD2014),N09000003,Belfast,2004/2005,19,End population,325483
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,1,Starting population,135209
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,2,Births,1668
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,3,Deaths,1094
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,4,Natural Change,574
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,5,Internal Inflows,3169
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,6,Internal Outflows,3237
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,7,Internal Net,-68
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,8,United Kingdom Inflows,1182
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,9,United Kingdom Outflows,1098
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,10,United Kingdom Net,84
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,11,Rest of world Inflows,845
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,12,Rest of world Outflows,588
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,13,Rest of world Net,257
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,14,Total Inflows,5196
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,15,Total Outflows,4923
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,16,Total Net,273
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,17,Other changes,284
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,18,Migration and other changes,557
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2004/2005,19,End population,136340
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,1,Starting population,145041
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,2,Births,1991
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,3,Deaths,1033
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,4,Natural Change,958
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,5,Internal Inflows,1982
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,6,Internal Outflows,2152
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,7,Internal Net,-170
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,8,United Kingdom Inflows,1075
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,9,United Kingdom Outflows,940
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,10,United Kingdom Net,135
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,11,Rest of world Inflows,731
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,12,Rest of world Outflows,1090
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,13,Rest of world Net,-359
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,14,Total Inflows,3788
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,15,Total Outflows,4182
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,16,Total Net,-394
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,17,Other changes,-158
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,18,Migration and other changes,-552
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2004/2005,19,End population,145447
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,1,Starting population,107923
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,2,Births,1393
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,3,Deaths,877
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,4,Natural Change,516
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,5,Internal Inflows,2009
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,6,Internal Outflows,1986
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,7,Internal Net,23
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,8,United Kingdom Inflows,1004
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,9,United Kingdom Outflows,822
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,10,United Kingdom Net,182
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,11,Rest of world Inflows,837
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,12,Rest of world Outflows,607
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,13,Rest of world Net,230
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,14,Total Inflows,3850
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,15,Total Outflows,3415
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,16,Total Net,435
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,17,Other changes,-288
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,18,Migration and other changes,147
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2004/2005,19,End population,108586
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,1,Starting population,125764
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,2,Births,1495
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,3,Deaths,1009
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,4,Natural Change,486
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,5,Internal Inflows,4819
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,6,Internal Outflows,4170
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,7,Internal Net,649
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,8,United Kingdom Inflows,1014
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,9,United Kingdom Outflows,1075
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,10,United Kingdom Net,-61
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,11,Rest of world Inflows,688
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,12,Rest of world Outflows,311
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,13,Rest of world Net,377
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,14,Total Inflows,6521
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,15,Total Outflows,5556
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,16,Total Net,965
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,17,Other changes,-172
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,18,Migration and other changes,793
2. Local Government Districts (LGD2014),N09000007,Lisburn and Castlereagh,2004/2005,19,End population,127043
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,1,Starting population,129925
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,2,Births,1630
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,3,Deaths,1120
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,4,Natural Change,510
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,5,Internal Inflows,2657
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,6,Internal Outflows,2444
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,7,Internal Net,213
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,8,United Kingdom Inflows,977
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,9,United Kingdom Outflows,812
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,10,United Kingdom Net,165
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,11,Rest of world Inflows,554
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,12,Rest of world Outflows,341
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,13,Rest of world Net,213
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,14,Total Inflows,4188
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,15,Total Outflows,3597
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,16,Total Net,591
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,17,Other changes,-46
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,18,Migration and other changes,545
2. Local Government Districts (LGD2014),N09000008,Mid and East Antrim,2004/2005,19,End population,130980
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,1,Starting population,122645
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,2,Births,1868
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,3,Deaths,908
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,4,Natural Change,960
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,5,Internal Inflows,2131
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,6,Internal Outflows,2344
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,7,Internal Net,-213
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,8,United Kingdom Inflows,614
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,9,United Kingdom Outflows,539
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,10,United Kingdom Net,75
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,11,Rest of world Inflows,1727
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,12,Rest of world Outflows,371
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,13,Rest of world Net,1356
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,14,Total Inflows,4472
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,15,Total Outflows,3254
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,16,Total Net,1218
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,17,Other changes,62
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,18,Migration and other changes,1280
2. Local Government Districts (LGD2014),N09000009,Mid Ulster,2004/2005,19,End population,124885
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,1,Starting population,158460
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,2,Births,2323
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,3,Deaths,1269
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,4,Natural Change,1054
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,5,Internal Inflows,2954
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,6,Internal Outflows,2637
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,7,Internal Net,317
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,8,United Kingdom Inflows,1168
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,9,United Kingdom Outflows,930
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,10,United Kingdom Net,238
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,11,Rest of world Inflows,1108
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,12,Rest of world Outflows,582
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,13,Rest of world Net,526
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,14,Total Inflows,5230
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,15,Total Outflows,4149
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,16,Total Net,1081
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,17,Other changes,-142
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,18,Migration and other changes,939
2. Local Government Districts (LGD2014),N09000010,"Newry, Mourne and Down",2004/2005,19,End population,160453
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,1,Starting population,150912
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,2,Births,1733
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,3,Deaths,1448
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,4,Natural Change,285
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,5,Internal Inflows,2947
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,6,Internal Outflows,2183
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,7,Internal Net,764
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,8,United Kingdom Inflows,1659
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,9,United Kingdom Outflows,1196
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,10,United Kingdom Net,463
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,11,Rest of world Inflows,553
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,12,Rest of world Outflows,519
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,13,Rest of world Net,34
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,14,Total Inflows,5159
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,15,Total Outflows,3898
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,16,Total Net,1261
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,17,Other changes,-225
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,18,Migration and other changes,1036
2. Local Government Districts (LGD2014),N09000011,Ards and North Down,2004/2005,19,End population,152233
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,1,Starting population,132350
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,2,Births,1711
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,3,Deaths,918
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,4,Natural Change,793
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,5,Internal Inflows,3829
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,6,Internal Outflows,3766
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,7,Internal Net,63
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,8,United Kingdom Inflows,752
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,9,United Kingdom Outflows,718
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,10,United Kingdom Net,34
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,11,Rest of world Inflows,988
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,12,Rest of world Outflows,790
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,13,Rest of world Net,198
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,14,Total Inflows,5569
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,15,Total Outflows,5274
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,16,Total Net,295
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,17,Other changes,-222
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,18,Migration and other changes,73
2. Local Government Districts (LGD2014),N09000001,Antrim and Newtownabbey,2005/2006,19,End population,133216
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,1,Starting population,183933
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,2,Births,2725
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,3,Deaths,1402
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,4,Natural Change,1323
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,5,Internal Inflows,3616
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,6,Internal Outflows,3051
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,7,Internal Net,565
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,8,United Kingdom Inflows,1076
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,9,United Kingdom Outflows,885
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,10,United Kingdom Net,191
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,11,Rest of world Inflows,2012
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,12,Rest of world Outflows,601
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,13,Rest of world Net,1411
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,14,Total Inflows,6704
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,15,Total Outflows,4537
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,16,Total Net,2167
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,17,Other changes,-227
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,18,Migration and other changes,1940
2. Local Government Districts (LGD2014),N09000002,"Armagh City, Banbridge and Craigavon",2005/2006,19,End population,187196
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,1,Starting population,325483
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,2,Births,4050
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,3,Deaths,3187
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,4,Natural Change,863
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,5,Internal Inflows,10218
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,6,Internal Outflows,11969
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,7,Internal Net,-1751
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,8,United Kingdom Inflows,2462
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,9,United Kingdom Outflows,2285
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,10,United Kingdom Net,177
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,11,Rest of world Inflows,3519
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,12,Rest of world Outflows,2968
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,13,Rest of world Net,551
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,14,Total Inflows,16199
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,15,Total Outflows,17222
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,16,Total Net,-1023
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,17,Other changes,662
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,18,Migration and other changes,-361
2. Local Government Districts (LGD2014),N09000003,Belfast,2005/2006,19,End population,325985
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,1,Starting population,136340
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,2,Births,1654
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,3,Deaths,1055
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,4,Natural Change,599
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,5,Internal Inflows,3062
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,6,Internal Outflows,3215
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,7,Internal Net,-153
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,8,United Kingdom Inflows,1251
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,9,United Kingdom Outflows,1152
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,10,United Kingdom Net,99
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,11,Rest of world Inflows,1097
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,12,Rest of world Outflows,700
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,13,Rest of world Net,397
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,14,Total Inflows,5410
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,15,Total Outflows,5067
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,16,Total Net,343
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,17,Other changes,156
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,18,Migration and other changes,499
2. Local Government Districts (LGD2014),N09000004,Causeway Coast and Glens,2005/2006,19,End population,137438
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,1,Starting population,145447
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,2,Births,2074
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,3,Deaths,1051
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,4,Natural Change,1023
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,5,Internal Inflows,1853
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,6,Internal Outflows,2098
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,7,Internal Net,-245
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,8,United Kingdom Inflows,1009
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,9,United Kingdom Outflows,1080
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,10,United Kingdom Net,-71
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,11,Rest of world Inflows,812
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,12,Rest of world Outflows,854
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,13,Rest of world Net,-42
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,14,Total Inflows,3674
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,15,Total Outflows,4032
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,16,Total Net,-358
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,17,Other changes,-257
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,18,Migration and other changes,-615
2. Local Government Districts (LGD2014),N09000005,Derry City and Strabane,2005/2006,19,End population,145855
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,1,Starting population,108586
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,2,Births,1435
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,3,Deaths,892
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,4,Natural Change,543
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,5,Internal Inflows,1878
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,6,Internal Outflows,1936
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,7,Internal Net,-58
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,8,United Kingdom Inflows,847
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,9,United Kingdom Outflows,897
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,10,United Kingdom Net,-50
2. Local Government Districts (LGD2014),N09000006,Fermanagh and Omagh,2005/2006,11,Rest of world Inflows,1173
